Class.Attribute	Code	Level	Text
AddressRules.ELADD_MUST_HAVE_SCHEME	AddressRules.ELADD_MUST_HAVE_SCHEME	ERROR	The value of each URI element in ElectronicAddress element must have a scheme.
AddressRules.ELADD_MAILTO_OR_HTTP	AddressRules.ELADD_MAILTO_OR_HTTP	ERROR	The scheme of the value of each URI element in ElectronicAddress element must be either "mailto" or one of ("http" or "https").
AddressRules.ELADD_ONE_MAILTO_ONE_HTTP	AddressRules.ELADD_ONE_MAILTO_ONE_HTTP	ERROR	Within the element ElectronicAddress there must be at least one URI whose scheme is "mailto" and at least one whose scheme is either "http" or "https".
AddressRules.ELADD_ONE_MAILTO_LANG_EN	AddressRules.ELADD_ONE_MAILTO_LANG_EN	ERROR	Within the element ElectronicAddress there must be at least one URI whose scheme is "mailto" and whose xml:lang attribute value is "en".
AddressRules.ELADD_ONE_MAILTO_LANG_EN_LOWERCASE	AddressRules.ELADD_ONE_MAILTO_LANG_EN_LOWERCASE	WARNING	Within the element ElectronicAddress there should be at least one URI whose scheme is "mailto" and whose xml:lang attribute value is "en" in lower cases.
AddressRules.ELADD_ONE_HTTP_LANG_EN	AddressRules.ELADD_ONE_HTTP_LANG_EN	ERROR	Within the element ElectronicAddress there must be at least one URI whose scheme is either "http" or "https", and whose xml:lang attribute value is "en".
AddressRules.ELADD_ONE_HTTP_LANG_EN_LOWERCASE	AddressRules.ELADD_ONE_HTTP_LANG_EN_LOWERCASE	WARNING	Within the element ElectronicAddress there should be at least one URI whose scheme is either "http" or "https", and whose xml:lang attribute value is "en" in lower cases.
CommonRules.RUN_EXCEPTION	CommonRules.RUN_EXCEPTION	ERROR	Run exception trhown. Report to developer.
CommonRules.EXECUTION_ERROR	CommonRules.EXECUTION_ERROR	ERROR	Some error has been detected during execution. Report to developer.
CommonRules.CHILDREN_SCHEMA	CommonRules.CHILDREN_SCHEMA	ERROR	Cheking order and cardinality of children of $A1 aganist specification.
CommonRules.ATTRIBUTES_SCHEMA	CommonRules.ATTRIBUTES_SCHEMA	ERROR	Cheking attributes of $A1 aganist specification.
CommonRules.VALUE_IS_INTEGER	CommonRules.VALUE_IS_INTEGER	ERROR	Component $A1 MUST be an integer.
CommonRules.PARTIAL_PARSING_ERROR	CommonRules.PARTIAL_PARSING_ERROR	ERROR	There has been an error when trying to parse a purported $A1 component.
CommonRules.PARSING_ERROR	CommonRules.PARSING_ERROR	ERROR	There has been an error when trying to parse a $A1 in $A2.
CommonRules.ELEMENT_SHOULD_NOT_BE_PRESENT	CommonRules.ELEMENT_SHOULD_NOT_BE_PRESENT	ERROR	The component $A1 should not be present in $A2. The TLCC will not conduct any check on it.
CommonRules.NOT_RECOGNIZED_ELEMENT	CommonRules.NOT_RECOGNIZED_ELEMENT	WARNING	The component under check is unkown for the TLCC. The TLCC will not conduct any check on it.
CommonRules.EXT_SET_TO_NON_CRITICAL	CommonRules.EXT_SET_TO_NON_CRITICAL	ERROR	The extension $A1 of $A2 component MUST NOT BE set to be critical.
CommonRules.EXT_SET_TO_CRITICAL	CommonRules.EXT_SET_TO_CRITICAL	ERROR	The extension $A1 of $A2 component MUST BE set to be critical.
DigitalIdentityRules.DIGID_AS_EXPECTED	DigitalIdentityRules.DIGID_AS_EXPECTED	ERROR	The component $A1 must contain an $A2.
DigitalIdentityRules.PUB_KEY_IN_X509_CERT	DigitalIdentityRules.PUB_KEY_IN_X509_CERT	ERROR	The X509 certificate must contain a public key.
DigitalIdentityRules.ONE_PUB_KEY_IN_DIG_ID	DigitalIdentityRules.ONE_PUB_KEY_IN_DIG_ID	ERROR	The sequence of elements corresponding to one digital identity must correspond to the same public key.
DigitalIdentityRules.ONE_SUB_NAME_IN_DIG_ID	DigitalIdentityRules.ONE_SUB_NAME_IN_DIG_ID	ERROR	If there are several X509 certificates within one digital identity all of them must have the same Subject Name.
DigitalIdentityRules.X509_CERT_SN_HAS_O	DigitalIdentityRules.X509_CERT_SN_HAS_O	ERROR	Any X509 certificate within one digital identity component must have an attribute O within its SubjectName.
DigitalIdentityRules.X509_CERT_SN_O_EQUAL_TSPNAME	DigitalIdentityRules.X509_CERT_SN_O_EQUAL_TSPNAME	ERROR	Any X509 certificate within one digital identity component must have the attribute O within its SubjectName equal to the Trust Service Provider's name.
DigitalIdentityRules.X509_CERT_SN_O_EQUAL_TSPTRADENAME	DigitalIdentityRules.X509_CERT_SN_O_EQUAL_TSPTRADENAME	ERROR	Any X509 certificate within one digital identity component may have the attribute O within its SubjectName equal to the Trust Service Provider's Trade Name and this should be stated in the website pointed by the SchemeServiceDefinitionURI component.
DigitalIdentityRules.X509_CERT_SN_O_EQUAL_TSPNAME_IGNORE_CASE	DigitalIdentityRules.X509_CERT_SN_O_EQUAL_TSPNAME_IGNORE_CASE	WARNING	Any X509 certificate within one digital identity component has the attribute O within its SubjectName equal to the Trust Service Provider's name if the comparison is case insensitive.
DigitalIdentityRules.X509_CERT_SN_O_EQUAL_TSPTRADENAME_IGNORE_CASE	DigitalIdentityRules.X509_CERT_SN_O_EQUAL_TSPTRADENAME_IGNORE_CASE	WARNING	Any X509 certificate within one digital identity component has the attribute O within its SubjectName equal to the Trust Service Provider's Trade Name if the comparison is case insensitive.
DigitalIdentityRules.X509_CERT_SN_O_EQUAL_TSPNAME_OR_TSPTRADENAME	DigitalIdentityRules.X509_CERT_SN_O_EQUAL_TSPNAME_OR_TSPTRADENAME	ERROR	Any X509 certificate within one digital identity component must have the attribute O within its SubjectName equal either to the Trust Service Provider's Name or equal to the Trust Service Provider's Trade Name (in which case this should be stated in the website pointed by the SchemeServiceDefinitionURI component).
DigitalIdentityRules.SAME_CERT_NOT_IN_OTHER_SERVICE_EQUAL_TYPE	DigitalIdentityRules.SAME_CERT_NOT_IN_OTHER_SERVICE_EQUAL_TYPE	ERROR	The X509 certificate must not be present in the TL as the digital identity of another service of the same type.
DigitalIdentityRules.SAME_COMPLETE_DIGITALID_NOT_IN_OTHER_SERVICE	DigitalIdentityRules.SAME_COMPLETE_DIGITALID_NOT_IN_OTHER_SERVICE	ERROR	The Trusted List MUST NOT contain two equal complete digital identities. A complete digital identity is a tuple formed by: a public key, the type of service owning the public key, and the combination of the following asie extensions: forESignature, forESeal, forWebAuthentication.
DigitalIdentityRules.SKI_IN_CERTIFICATE_GOOD	DigitalIdentityRules.SKI_IN_CERTIFICATE_GOOD	ERROR	 The contents of the SubjectKeyIdentifier extension in any X509 certificate within the digital identity have to be correct.
DigitalIdentityRules.SKI_EQUAL_SKI_IN_CERTIFICATE	DigitalIdentityRules.SKI_EQUAL_SKI_IN_CERTIFICATE	ERROR	The content of the X509SKI component must be equal to the SubjectKeyIdentifier present in any X509 certificate within the digital identity.
DigitalIdentityRules.SKI_EQUAL_SKI_COMPUTED_FOR_CERTIFICATE	DigitalIdentityRules.SKI_EQUAL_SKI_COMPUTED_FOR_CERTIFICATE	WARNING	The content of the X509SKI component should be equal to the SubjectKeyIdentifier computed on this X509 certificate if it does not have this extension, using the two methods specified in the RFC 5280 clause 4.2.1.2.
